"description"	"symbol"	"efo"	"gene"	"chromosome"	"init_pos"	"genome_reference"	"chosen_gene_idx"	"position"	"row_number"
"Hodgkin Disease"	"PDCD1"	"EFO_0000183"	"ENSG00000188389"	"chr2"	241854389	"hg38"	1	241854389	611
"Hodgkin Disease"	"TNFRSF8"	"EFO_0000183"	"ENSG00000120949"	"chr1"	12103755	"hg38"	1	12103755	612
"Hodgkin Disease"	"TOP2A"	"EFO_0000183"	"ENSG00000131747"	"chr17"	40403210.5	"hg38"	5	40488728.5	613
"Huntington Disease"	"SLC18A2"	"Orphanet_399"	"ENSG00000165646"	"chr10"	117260272	"hg38"	1	117260272	614
"Hyperbilirubinemia"	"HMOX1"	"HP_0002904"	"ENSG00000100292"	"chr22"	35387651.5	"hg38"	1	35387651.5	615
"Hypercalcemia"	"CASR"	"HP_0003072"	"ENSG00000036828"	"chr3"	122237648.5	"hg38"	2	122333608.5	616
"Hypercholesterolemia"	"HMGCR"	"HP_0003124"	"ENSG00000113161"	"chr5"	75349660.5	"hg38"	5	75641649.5	617
"Hypercholesterolemia"	"PCSK9"	"HP_0003124"	"ENSG00000169174"	"chr1"	55052200	"hg38"	13	54616353	618
"Hypercholesterolemia"	"PPARA"	"HP_0003124"	"ENSG00000186951"	"chr22"	46197140.5	"hg38"	0	46197140.5	619
"Hyperlipoproteinemia Type II"	"ANGPTL3"	"Orphanet_391665"	"ENSG00000132855"	"chr1"	62601916.5	"hg38"	3	62444426.5	620
"Hyperlipoproteinemia Type II"	"APOB"	"Orphanet_391665"	"ENSG00000084674"	"chr2"	21022751	"hg38"	1	21022751	621
"Hyperlipoproteinemia Type II"	"PCSK9"	"Orphanet_391665"	"ENSG00000169174"	"chr1"	55052200	"hg38"	2	55140861.5	622
"Hyperlipidemias"	"HMGCR"	"MONDO_0021187"	"ENSG00000113161"	"chr5"	75349660.5	"hg38"	3	75152587.5	623
"Hyperlipidemias"	"PCSK9"	"MONDO_0021187"	"ENSG00000169174"	"chr1"	55052200	"hg38"	1	55052200	624
"Hyperlipidemias"	"PPARA"	"MONDO_0021187"	"ENSG00000186951"	"chr22"	46197140.5	"hg38"	7	46112785.5	625
"Hyperlipidemias"	"PPARG"	"MONDO_0021187"	"ENSG00000132170"	"chr3"	12361707	"hg38"	1	12361707	626
"Hyperoxaluria"	"HAO1"	"Orphanet_416"	"ENSG00000101323"	"chr20"	7911721.5	"hg38"	1	7911721.5	627
"Hyperparathyroidism, Secondary"	"CASR"	"EFO_1001173"	"ENSG00000036828"	"chr3"	122237648.5	"hg38"	2	122333608.5	628
"Hyperparathyroidism, Secondary"	"VDR"	"EFO_1001173"	"ENSG00000111424"	"chr12"	47873265.5	"hg38"	3	47966237	629
"Hypersensitivity"	"HRH1"	"EFO_0003785"	"ENSG00000196639"	"chr3"	11209025	"hg38"	1	11209025	630
"Hypertension"	"ACE"	"EFO_0000537"	"ENSG00000159640"	"chr17"	63487717	"hg38"	1	63487717	631
"Hypertension"	"ADRA2A"	"EFO_0000537"	"ENSG00000150594"	"chr10"	111078968	"hg38"	3	110988969.5	632
"Hypertension"	"ADRA2B"	"EFO_0000537"	"ENSG00000274286"	"chr2"	96114723.5	"hg38"	5	96028431	633
"Hypertension"	"ADRA2C"	"EFO_0000537"	"ENSG00000184160"	"chr4"	3767455.5	"hg38"	1	3767455.5	634
"Hypertension"	"ADRB1"	"EFO_0000537"	"ENSG00000043591"	"chr10"	114045385	"hg38"	2	114147532.5	635
"Hypertension"	"ADRB2"	"EFO_0000537"	"ENSG00000169252"	"chr5"	148827617	"hg38"	0	148827617	636
"Hypertension"	"AGT"	"EFO_0000537"	"ENSG00000135744"	"chr1"	230708322.5	"hg38"	2	230668231.5	637
"Hypertension"	"AGTR1"	"EFO_0000537"	"ENSG00000144891"	"chr3"	148720453	"hg38"	3	148881249.5	638
"Hypertension"	"CACNA1C"	"EFO_0000537"	"ENSG00000151067"	"chr12"	2375468.5	"hg38"	1	2375468.5	639
"Hypertension"	"REN"	"EFO_0000537"	"ENSG00000143839"	"chr1"	204160578	"hg38"	1	204160578	640
"Hypertension, Pulmonary"	"EDNRA"	"MONDO_0005149"	"ENSG00000151617"	"chr4"	147513025.5	"hg38"	2	147627059	641
"Hypertension, Pulmonary"	"EDNRB"	"MONDO_0005149"	"ENSG00000136160"	"chr13"	77907159	"hg38"	3	77698064	642
"Hypertension, Pulmonary"	"GUCY1A1"	"MONDO_0005149"	"ENSG00000164116"	"chr4"	155701953.5	"hg38"	1	155701953.5	643
"Hypertension, Pulmonary"	"GUCY1B1"	"MONDO_0005149"	"ENSG00000061918"	"chr4"	155783416	"hg38"	3	155701953.5	644
"Hypertension, Pulmonary"	"PDE5A"	"MONDO_0005149"	"ENSG00000138735"	"chr4"	119561603.5	"hg38"	1	119561603.5	645
"Hypertension, Pulmonary"	"PTGIR"	"MONDO_0005149"	"ENSG00000160013"	"chr19"	46622778.5	"hg38"	14	46844506.5	646
"Hypoglycemia"	"GCG"	"HP_0001943"	"ENSG00000115263"	"chr2"	162147564.5	"hg38"	1	162147564.5	647
"Hypoglycemia"	"GCGR"	"HP_0001943"	"ENSG00000215644"	"chr17"	81809079	"hg38"	2	81827826	648
"Hypogonadism"	"AR"	"MONDO_0002146"	"ENSG00000169083"	"chrX"	67637320	"hg38"	1	67637320	649
"Hypogonadism"	"LHCGR"	"MONDO_0002146"	"ENSG00000138039"	"chr2"	48721249	"hg38"	0	48721249	650
"Hypoparathyroidism"	"PTH1R"	"EFO_0009451"	"ENSG00000160801"	"chr3"	46890760	"hg38"	4	46762344.5	651
"Hypophosphatasia"	"ALPL"	"Orphanet_436"	"ENSG00000162551"	"chr1"	21543916.5	"hg38"	5	21730723.5	652
"Hypoprothrombinemias"	"F2"	"Orphanet_325"	"ENSG00000180210"	"chr11"	46729359.5	"hg38"	1	46729359.5	653
"Hypotension"	"ADRA1A"	"EFO_0005251"	"ENSG00000120907"	"chr8"	26818043.5	"hg38"	1	26818043.5	654
"Hypotension"	"ADRA1B"	"EFO_0005251"	"ENSG00000170214"	"chr5"	159944747	"hg38"	1	159944747	655
"Hypotension"	"ADRA1D"	"EFO_0005251"	"ENSG00000171873"	"chr20"	4234958.5	"hg38"	10	3785295.5	656
"Hypotension"	"AGT"	"EFO_0005251"	"ENSG00000135744"	"chr1"	230708322.5	"hg38"	1	230708322.5	657
"Hypothyroidism"	"TSHR"	"Orphanet_177107"	"ENSG00000165409"	"chr14"	81050963.5	"hg38"	3	81198205.5	658
"Ichthyosis"	"TNF"	"MONDO_0019269"	"ENSG00000232810"	"chr6"	31576950.5	"hg38"	20	31663112.5	659
"Immune System Diseases"	"IMPDH1"	"EFO_0000540"	"ENSG00000106348"	"chr7"	128401129.5	"hg38"	1	128401129.5	660
"Erectile Dysfunction"	"PDE5A"	"HP_0000802"	"ENSG00000138735"	"chr4"	119561603.5	"hg38"	4	119254115.5	661
"Infections"	"IFNAR1"	"EFO_0000544"	"ENSG00000142166"	"chr21"	33342417	"hg38"	2	33281794	662
"Infertility, Female"	"AVPR1A"	"EFO_0008560"	"ENSG00000166148"	"chr12"	63146980	"hg38"	1	63146980	663
"Infertility, Female"	"FSHR"	"EFO_0008560"	"ENSG00000170820"	"chr2"	49058336	"hg38"	2	49059630.5	664
"Infertility, Female"	"GNRHR"	"EFO_0008560"	"ENSG00000109163"	"chr4"	67745753	"hg38"	1	67745753	665
"Infertility, Female"	"LHCGR"	"EFO_0008560"	"ENSG00000138039"	"chr2"	48721249	"hg38"	3	48648730	666
"Infertility, Female"	"PGR"	"EFO_0008560"	"ENSG00000082175"	"chr11"	101079718.5	"hg38"	1	101079718.5	667
"Infertility, Male"	"FSHR"	"EFO_0004248"	"ENSG00000170820"	"chr2"	49058336	"hg38"	3	48694007.5	668
"Inflammation"	"MS4A1"	"EFO_0009903"	"ENSG00000156738"	"chr11"	60463299.5	"hg38"	1	60463299.5	669
"Inflammation"	"PTGS1"	"EFO_0009903"	"ENSG00000095303"	"chr9"	122383363.5	"hg38"	1	122383363.5	670
"Inflammation"	"PTGS2"	"EFO_0009903"	"ENSG00000073756"	"chr1"	186676107	"hg38"	0	186676107	671
"Inflammation"	"TBXAS1"	"EFO_0009903"	"ENSG00000059377"	"chr7"	139924778.5	"hg38"	0	139924778.5	672
"Inflammation"	"TGFB1"	"EFO_0009903"	"ENSG00000105329"	"chr19"	41342122.5	"hg38"	1	41342122.5	673
"Inflammation"	"TNF"	"EFO_0009903"	"ENSG00000232810"	"chr6"	31576950.5	"hg38"	10	31616124.5	674
"Influenza, Human"	"IFNG"	"EFO_0007328"	"ENSG00000111537"	"chr12"	68157254	"hg38"	2	68213579.5	675
"Sleep Initiation and Maintenance Disorders"	"GABRA1"	"EFO_0004698"	"ENSG00000022355"	"chr5"	161874045.5	"hg38"	1	161874045.5	676
"Sleep Initiation and Maintenance Disorders"	"HCRTR1"	"EFO_0004698"	"ENSG00000121764"	"chr1"	31622651	"hg38"	2	31637371	677
"Sleep Initiation and Maintenance Disorders"	"HCRTR2"	"EFO_0004698"	"ENSG00000137252"	"chr6"	55228566	"hg38"	1	55228566	678
"Sleep Initiation and Maintenance Disorders"	"HRH1"	"EFO_0004698"	"ENSG00000196639"	"chr3"	11209025	"hg38"	1	11209025	679
"Sleep Initiation and Maintenance Disorders"	"HRH2"	"EFO_0004698"	"ENSG00000113749"	"chr5"	175684413.5	"hg38"	1	175684413.5	680
"Sleep Initiation and Maintenance Disorders"	"MTNR1A"	"EFO_0004698"	"ENSG00000168412"	"chr4"	186544611	"hg38"	0	186544611	681
"Sleep Initiation and Maintenance Disorders"	"MTNR1B"	"EFO_0004698"	"ENSG00000134640"	"chr11"	92976216.5	"hg38"	1	92976216.5	682
"Sleep Initiation and Maintenance Disorders"	"SLC6A2"	"EFO_0004698"	"ENSG00000103546"	"chr16"	55681090	"hg38"	0	55681090	683
"Ischemia"	"HGF"	"EFO_0000556"	"ENSG00000019991"	"chr7"	81734528.5	"hg38"	1	81734528.5	684
"Ischemia"	"VEGFA"	"EFO_0000556"	"ENSG00000112715"	"chr6"	43778349	"hg38"	1	43778349	685
"Jaundice"	"HMOX1"	"HP_0000952"	"ENSG00000100292"	"chr22"	35387651.5	"hg38"	9	35658425	686
"Keratitis"	"NGFR"	"EFO_0009449"	"ENSG00000064300"	"chr17"	49505150.5	"hg38"	15	49843184.5	687
"Kidney Failure, Chronic"	"SLC12A1"	"EFO_0003884"	"ENSG00000074803"	"chr15"	48255190	"hg38"	1	48255190	688
"Kidney Failure, Chronic"	"SLC12A2"	"EFO_0003884"	"ENSG00000064651"	"chr5"	128136721.5	"hg38"	1	128136721.5	689
"Kidney Failure, Chronic"	"SLC5A2"	"EFO_0003884"	"ENSG00000140675"	"chr16"	31486946	"hg38"	2	31498933	690
"Kidney Failure, Chronic"	"VDR"	"EFO_0003884"	"ENSG00000111424"	"chr12"	47873265.5	"hg38"	2	47801312.5	691
"Kidney Neoplasms"	"AXL"	"EFO_0002890"	"ENSG00000167601"	"chr19"	41240494.5	"hg38"	2	41286079.5	692
"Kidney Neoplasms"	"BRAF"	"EFO_0002890"	"ENSG00000157764"	"chr7"	140827797	"hg38"	0	140827797	693
"Kidney Neoplasms"	"CD274"	"EFO_0002890"	"ENSG00000120217"	"chr9"	5460548	"hg38"	1	5460548	694
"Kidney Neoplasms"	"CSF1R"	"EFO_0002890"	"ENSG00000182578"	"chr5"	150069924.5	"hg38"	2	150026933.5	695
"Kidney Neoplasms"	"EGFR"	"EFO_0002890"	"ENSG00000146648"	"chr7"	55115322.5	"hg38"	3	55521557.5	696
"Kidney Neoplasms"	"EPAS1"	"EFO_0002890"	"ENSG00000116016"	"chr2"	46342052	"hg38"	1	46342052	697
"Kidney Neoplasms"	"FGFR1"	"EFO_0002890"	"ENSG00000077782"	"chr8"	38439889	"hg38"	1	38439889	698
"Kidney Neoplasms"	"FGFR2"	"EFO_0002890"	"ENSG00000066468"	"chr10"	121538388	"hg38"	1	121538388	699
"Kidney Neoplasms"	"FGFR3"	"EFO_0002890"	"ENSG00000068078"	"chr4"	1801080	"hg38"	3	1733346	700
"Kidney Neoplasms"	"FGFR4"	"EFO_0002890"	"ENSG00000160867"	"chr5"	177092529.5	"hg38"	1	177092529.5	701
"Kidney Neoplasms"	"FLT1"	"EFO_0002890"	"ENSG00000102755"	"chr13"	28397737	"hg38"	2	28216940	702
"Kidney Neoplasms"	"FLT3"	"EFO_0002890"	"ENSG00000122025"	"chr13"	28051925	"hg38"	1	28051925	703
"Kidney Neoplasms"	"FLT4"	"EFO_0002890"	"ENSG00000037280"	"chr5"	180625553	"hg38"	5	180793793	704
"Kidney Neoplasms"	"IFNAR2"	"EFO_0002890"	"ENSG00000159110"	"chr21"	33247801	"hg38"	1	33247801	705
"Kidney Neoplasms"	"IL2RA"	"EFO_0002890"	"ENSG00000134460"	"chr10"	6036528	"hg38"	1	6036528	706
"Kidney Neoplasms"	"KDR"	"EFO_0002890"	"ENSG00000128052"	"chr4"	55102038	"hg38"	1	55102038	707
"Kidney Neoplasms"	"KIT"	"EFO_0002890"	"ENSG00000157404"	"chr4"	54699336	"hg38"	1	54699336	708
"Kidney Neoplasms"	"PDCD1"	"EFO_0002890"	"ENSG00000188389"	"chr2"	241854389	"hg38"	5	241790554.5	709
"Kidney Neoplasms"	"PDGFRA"	"EFO_0002890"	"ENSG00000134853"	"chr4"	54263769	"hg38"	3	54101330.5	710
"Kidney Neoplasms"	"PDGFRB"	"EFO_0002890"	"ENSG00000113721"	"chr5"	150134842	"hg38"	2	150175668	711
"Kidney Neoplasms"	"RET"	"EFO_0002890"	"ENSG00000165731"	"chr10"	43103710	"hg38"	1	43103710	712
"Kidney Neoplasms"	"TEK"	"EFO_0002890"	"ENSG00000120156"	"chr9"	27169699.5	"hg38"	0	27169699.5	713
"Kidney Neoplasms"	"VEGFA"	"EFO_0002890"	"ENSG00000112715"	"chr6"	43778349	"hg38"	1	43778349	714
"Leiomyoma"	"GNRH1"	"MONDO_0001572"	"ENSG00000147437"	"chr8"	25421759.5	"hg38"	7	24953783.5	715
"Leiomyoma"	"GNRHR"	"MONDO_0001572"	"ENSG00000109163"	"chr4"	67745753	"hg38"	8	68236173.5	716
"Leishmaniasis"	"PTPN1"	"EFO_0005044"	"ENSG00000196396"	"chr20"	50547812	"hg38"	3	50638825	717
"Leishmaniasis"	"PTPN11"	"EFO_0005044"	"ENSG00000179295"	"chr12"	112464432.5	"hg38"	12	111972231.5	718
"Leishmaniasis"	"PTPN6"	"EFO_0005044"	"ENSG00000111679"	"chr12"	6956336	"hg38"	1	6956336	719
"Leprosy"	"FOLH1"	"EFO_0001054"	"ENSG00000086205"	"chr11"	49176847	"hg38"	3	49033489	720
"Leprosy"	"IL2RA"	"EFO_0001054"	"ENSG00000134460"	"chr10"	6036528	"hg38"	1	6036528	721
"Leprosy"	"SMPD1"	"EFO_0001054"	"ENSG00000166311"	"chr11"	6392735	"hg38"	3	6436018	722
"Leukemia"	"ABCB1"	"EFO_0000565"	"ENSG00000085563"	"chr7"	87551950.5	"hg38"	1	87551950.5	723
"Leukemia, Hairy Cell"	"CD22"	"EFO_1000956"	"ENSG00000012124"	"chr19"	35338274	"hg38"	1	35338274	724
"Leukemia, Hairy Cell"	"EEF2"	"EFO_1000956"	"ENSG00000167658"	"chr19"	3980759.5	"hg38"	3	3961463	725
"Leukemia, Hairy Cell"	"IFNA1"	"EFO_1000956"	"ENSG00000197919"	"chr9"	21440877.5	"hg38"	10	21239503.5	726
"Leukemia, Hairy Cell"	"IFNAR2"	"EFO_1000956"	"ENSG00000159110"	"chr21"	33247801	"hg38"	1	33247801	727
"Leukopenia"	"CSF3R"	"EFO_0004233"	"ENSG00000119535"	"chr1"	36474478	"hg38"	6	36322837.5	728
"Lipodystrophy"	"APOC3"	"EFO_1000727"	"ENSG00000110245"	"chr11"	116831489.5	"hg38"	3	116822002	729
"Hyperlipoproteinemia Type I"	"APOC3"	"Orphanet_411"	"ENSG00000110245"	"chr11"	116831489.5	"hg38"	1	116831489.5	730
"Hyperlipoproteinemia Type I"	"LPL"	"Orphanet_411"	"ENSG00000175445"	"chr8"	19953256	"hg38"	2	19834741.5	731
"Liver Cirrhosis"	"IFNAR2"	"EFO_0001422"	"ENSG00000159110"	"chr21"	33247801	"hg38"	2	33263419.5	732
"Liver Cirrhosis, Biliary"	"NR1H4"	"EFO_1001486"	"ENSG00000012504"	"chr12"	100519140	"hg38"	1	100519140	733
"Liver Neoplasms"	"AXL"	"MONDO_0002691"	"ENSG00000167601"	"chr19"	41240494.5	"hg38"	3	41200379	734
"Liver Neoplasms"	"BRAF"	"MONDO_0002691"	"ENSG00000157764"	"chr7"	140827797	"hg38"	1	140827797	735
"Liver Neoplasms"	"BSG"	"MONDO_0002691"	"ENSG00000172270"	"chr19"	578044.5	"hg38"	2	603520	736
"Liver Neoplasms"	"CD274"	"MONDO_0002691"	"ENSG00000120217"	"chr9"	5460548	"hg38"	1	5460548	737
"Liver Neoplasms"	"CTLA4"	"MONDO_0002691"	"ENSG00000163599"	"chr2"	203870868	"hg38"	3	203722775.5	738
"Liver Neoplasms"	"ESR1"	"MONDO_0002691"	"ENSG00000091831"	"chr6"	151955478	"hg38"	2	152379524.5	739
"Liver Neoplasms"	"FGFR1"	"MONDO_0002691"	"ENSG00000077782"	"chr8"	38439889	"hg38"	1	38439889	740
"Liver Neoplasms"	"FGFR2"	"MONDO_0002691"	"ENSG00000066468"	"chr10"	121538388	"hg38"	1	121538388	741
"Liver Neoplasms"	"FGFR3"	"MONDO_0002691"	"ENSG00000068078"	"chr4"	1801080	"hg38"	2	1833817.5	742
"Liver Neoplasms"	"FGFR4"	"MONDO_0002691"	"ENSG00000160867"	"chr5"	177092529.5	"hg38"	5	176890107.5	743
"Liver Neoplasms"	"FLT1"	"MONDO_0002691"	"ENSG00000102755"	"chr13"	28397737	"hg38"	2	28216940	744
"Liver Neoplasms"	"FLT3"	"MONDO_0002691"	"ENSG00000122025"	"chr13"	28051925	"hg38"	5	27923156.5	745
"Liver Neoplasms"	"FLT4"	"MONDO_0002691"	"ENSG00000037280"	"chr5"	180625553	"hg38"	0	180625553	746
"Liver Neoplasms"	"IL2RA"	"MONDO_0002691"	"ENSG00000134460"	"chr10"	6036528	"hg38"	1	6036528	747
"Liver Neoplasms"	"KDR"	"MONDO_0002691"	"ENSG00000128052"	"chr4"	55102038	"hg38"	1	55102038	748
"Liver Neoplasms"	"KIT"	"MONDO_0002691"	"ENSG00000157404"	"chr4"	54699336	"hg38"	3	54263769	749
"Liver Neoplasms"	"PDCD1"	"MONDO_0002691"	"ENSG00000188389"	"chr2"	241854389	"hg38"	1	241854389	750
"Liver Neoplasms"	"PDGFRA"	"MONDO_0002691"	"ENSG00000134853"	"chr4"	54263769	"hg38"	2	54263769	751
"Liver Neoplasms"	"RAF1"	"MONDO_0002691"	"ENSG00000132155"	"chr3"	12623859	"hg38"	10	12985236	752
"Liver Neoplasms"	"RET"	"MONDO_0002691"	"ENSG00000165731"	"chr10"	43103710	"hg38"	1	43103710	753
"Liver Neoplasms"	"TEK"	"MONDO_0002691"	"ENSG00000120156"	"chr9"	27169699.5	"hg38"	0	27169699.5	754
"Liver Neoplasms"	"TLR3"	"MONDO_0002691"	"ENSG00000164342"	"chr4"	186078614.5	"hg38"	1	186078614.5	755
"Liver Neoplasms"	"VEGFA"	"MONDO_0002691"	"ENSG00000112715"	"chr6"	43778349	"hg38"	18	43352858.5	756
"Lung Neoplasms"	"IL2RA"	"MONDO_0008903"	"ENSG00000134460"	"chr10"	6036528	"hg38"	12	6503712	757
"Lung Neoplasms"	"TLR3"	"MONDO_0008903"	"ENSG00000164342"	"chr4"	186078614.5	"hg38"	1	186078614.5	758
"Lung Neoplasms"	"TUBB"	"MONDO_0008903"	"ENSG00000196230"	"chr6"	30722887	"hg38"	1	30722887	759
"Lupus Erythematosus, Systemic"	"IFNAR1"	"MONDO_0004670,EFO_0002690"	"ENSG00000142166"	"chr21"	33342417	"hg38"	3	33263419.5	760
"Lupus Erythematosus, Systemic"	"IL2RA"	"MONDO_0004670,EFO_0002690"	"ENSG00000134460"	"chr10"	6036528	"hg38"	1	6036528	761
"Lupus Erythematosus, Systemic"	"NR3C1"	"MONDO_0004670,EFO_0002690"	"ENSG00000113580"	"chr5"	143340810	"hg38"	1	143340810	762
"Lupus Erythematosus, Systemic"	"TNFSF13"	"MONDO_0004670,EFO_0002690"	"ENSG00000161955"	"chr17"	7560175.5	"hg38"	3	7566944	763
"Lupus Erythematosus, Systemic"	"TNFSF13B"	"MONDO_0004670,EFO_0002690"	"ENSG00000102524"	"chr13"	108289098	"hg38"	1	108289098	764
"Lymphoma"	"BTK"	"EFO_0000574"	"ENSG00000010671"	"chrX"	101367820.5	"hg38"	2	101347201.5	765
"Lymphoma"	"IL2RA"	"EFO_0000574"	"ENSG00000134460"	"chr10"	6036528	"hg38"	0	6036528	766
"Lymphoma, Follicular"	"CCL3"	"MONDO_0018906"	"ENSG00000277632"	"chr17"	36089199.5	"hg38"	1	36089199.5	767
"Lymphoma, Follicular"	"CCL4"	"MONDO_0018906"	"ENSG00000275302"	"chr17"	36104720.5	"hg38"	1	36104720.5	768
"Lymphoma, Follicular"	"CD19"	"MONDO_0018906"	"ENSG00000177455"	"chr16"	28935656.5	"hg38"	17	28594496.5	769
"Lymphoma, Follicular"	"CD3E"	"MONDO_0018906"	"ENSG00000198851"	"chr11"	118310451.5	"hg38"	12	118099484	770
"Lymphoma, Follicular"	"CSNK1E"	"MONDO_0018906"	"ENSG00000213923"	"chr22"	38304062	"hg38"	5	38146662.5	771
"Lymphoma, Follicular"	"EZH2"	"MONDO_0018906"	"ENSG00000106462"	"chr7"	148845837	"hg38"	3	149015783.5	772
"Lymphoma, Follicular"	"IFNAR2"	"MONDO_0018906"	"ENSG00000159110"	"chr21"	33247801	"hg38"	0	33247801	773
"Lymphoma, Follicular"	"MS4A1"	"MONDO_0018906"	"ENSG00000156738"	"chr11"	60463299.5	"hg38"	1	60463299.5	774
"Lymphoma, Follicular"	"PIK3CA"	"MONDO_0018906"	"ENSG00000121879"	"chr3"	179194225	"hg38"	2	179246942.5	775
"Lymphoma, Follicular"	"PIK3CB"	"MONDO_0018906"	"ENSG00000051382"	"chr3"	138743813	"hg38"	1	138743813	776
"Lymphoma, Follicular"	"PIK3CD"	"MONDO_0018906"	"ENSG00000171608"	"chr1"	9690422.5	"hg38"	1	9690422.5	777
"Lymphoma, Follicular"	"PIK3CG"	"MONDO_0018906"	"ENSG00000105851"	"chr7"	106887131	"hg38"	4	107185762.5	778
"Lymphoma, Non-Hodgkin"	"ANPEP"	"EFO_0005952"	"ENSG00000166825"	"chr15"	89799873.5	"hg38"	1	89799873.5	779
"Lymphoma, Non-Hodgkin"	"BTK"	"EFO_0005952"	"ENSG00000010671"	"chrX"	101367820.5	"hg38"	1	101367820.5	780
"Lymphoma, Non-Hodgkin"	"CCL3"	"EFO_0005952"	"ENSG00000277632"	"chr17"	36089199.5	"hg38"	2	36104720.5	781
"Lymphoma, Non-Hodgkin"	"CCL4"	"EFO_0005952"	"ENSG00000275302"	"chr17"	36104720.5	"hg38"	1	36104720.5	782
"Lymphoma, Non-Hodgkin"	"CD19"	"EFO_0005952"	"ENSG00000177455"	"chr16"	28935656.5	"hg38"	1	28935656.5	783
"Lymphoma, Non-Hodgkin"	"CD3E"	"EFO_0005952"	"ENSG00000198851"	"chr11"	118310451.5	"hg38"	2	118340890	784
"Lymphoma, Non-Hodgkin"	"EZH2"	"EFO_0005952"	"ENSG00000106462"	"chr7"	148845837	"hg38"	3	149015783.5	785
"Lymphoma, Non-Hodgkin"	"IFNAR2"	"EFO_0005952"	"ENSG00000159110"	"chr21"	33247801	"hg38"	6	33071277	786
"Lymphoma, Non-Hodgkin"	"MS4A1"	"EFO_0005952"	"ENSG00000156738"	"chr11"	60463299.5	"hg38"	6	60387240	787
"Lymphoma, Non-Hodgkin"	"PIK3CD"	"EFO_0005952"	"ENSG00000171608"	"chr1"	9690422.5	"hg38"	0	9690422.5	788
"Lymphoma, Non-Hodgkin"	"TOP2A"	"EFO_0005952"	"ENSG00000131747"	"chr17"	40403210.5	"hg38"	1	40403210.5	789
"Lymphoproliferative Disorders"	"MS4A1"	"MONDO_0019088,Orphanet_238510"	"ENSG00000156738"	"chr11"	60463299.5	"hg38"	1	60463299.5	790
"Waldenstrom Macroglobulinemia"	"BTK"	"EFO_0009441"	"ENSG00000010671"	"chrX"	101367820.5	"hg38"	17	100980269.5	791
"Macular Edema"	"ANGPT2"	"HP_0011505,HP_0040049"	"ENSG00000091879"	"chr8"	6531438.5	"hg38"	13	7017083	792
"Macular Edema"	"FLT1"	"HP_0011505,HP_0040049"	"ENSG00000102755"	"chr13"	28397737	"hg38"	8	27965116.5	793
"Macular Edema"	"KDR"	"HP_0011505,HP_0040049"	"ENSG00000128052"	"chr4"	55102038	"hg38"	3	55411066	794
"Macular Edema"	"NR3C1"	"HP_0011505,HP_0040049"	"ENSG00000113580"	"chr5"	143340810	"hg38"	3	143679915.5	795
"Macular Edema"	"PTGS1"	"HP_0011505,HP_0040049"	"ENSG00000095303"	"chr9"	122383363.5	"hg38"	1	122383363.5	796
"Macular Edema"	"PTGS2"	"HP_0011505,HP_0040049"	"ENSG00000073756"	"chr1"	186676107	"hg38"	1	186676107	797
"Macular Edema"	"VEGFA"	"HP_0011505,HP_0040049"	"ENSG00000112715"	"chr6"	43778349	"hg38"	2	43679496.5	798
"Malignant Carcinoid Syndrome"	"TPH1"	"EFO_1000852"	"ENSG00000129167"	"chr11"	18031912	"hg38"	8	18246954	799
"Malignant Hyperthermia"	"RYR1"	"Orphanet_423"	"ENSG00000196218"	"chr19"	38510627.5	"hg38"	9	38689619	800
"alpha-Mannosidosis"	"MAN2B1"	"Orphanet_61"	"ENSG00000104774"	"chr19"	12656627	"hg38"	1	12656627	801
"Mastocytosis"	"CSF1R"	"EFO_0009001"	"ENSG00000182578"	"chr5"	150069924.5	"hg38"	1	150069924.5	802
"Mastocytosis"	"FGFR3"	"EFO_0009001"	"ENSG00000068078"	"chr4"	1801080	"hg38"	13	2161371.5	803
"Mastocytosis"	"FYN"	"EFO_0009001"	"ENSG00000010810"	"chr6"	111766892	"hg38"	0	111766892	804
"Mastocytosis"	"KIT"	"EFO_0009001"	"ENSG00000157404"	"chr4"	54699336	"hg38"	1	54699336	805
"Mastocytosis"	"LYN"	"EFO_0009001"	"ENSG00000254087"	"chr8"	55947002	"hg38"	1	55947002	806
"Mastocytosis"	"PDGFRA"	"EFO_0009001"	"ENSG00000134853"	"chr4"	54263769	"hg38"	1	53836555.5	807
"Mastocytosis"	"PDGFRB"	"EFO_0009001"	"ENSG00000113721"	"chr5"	150134842	"hg38"	4	150200562.5	808
"Medulloblastoma"	"CD276"	"EFO_0003833,MONDO_0001657"	"ENSG00000103855"	"chr15"	73699448.5	"hg38"	1	73699448.5	809
"Medulloblastoma"	"IFNAR2"	"EFO_0003833,MONDO_0001657"	"ENSG00000159110"	"chr21"	33247801	"hg38"	3	33281794	810
"Medulloblastoma"	"VEGFA"	"EFO_0003833,MONDO_0001657"	"ENSG00000112715"	"chr6"	43778349	"hg38"	2	43679496.5	811
"Melanoma"	"BRAF"	"EFO_0000756"	"ENSG00000157764"	"chr7"	140827797	"hg38"	2	140701675.5	812
"Melanoma"	"CD274"	"EFO_0000756"	"ENSG00000120217"	"chr9"	5460548	"hg38"	1	5460548	813
"Melanoma"	"CD3E"	"EFO_0000756"	"ENSG00000198851"	"chr11"	118310451.5	"hg38"	1	118310451.5	814
"Melanoma"	"IFNAR2"	"EFO_0000756"	"ENSG00000159110"	"chr21"	33247801	"hg38"	1	33247801	815
